/* DATA DESCRIPTION:
Citation:	Erhardt, Tobias; Capron, Emilie; Rasmussen, Sune Olander; Schüpbach, Simon; Bigler, Matthias; Adolphi, Florian; Fischer, Hubertus (2018): NGRIP high resolution calcium, sodium concentrations and layer thickness (over warming events, 10-60ka). PANGAEA, https://doi.org/10.1594/PANGAEA.896740, 
	In supplement to: Erhardt, T et al. (2019): Decadal-scale progression of the onset of Dansgaard–Oeschger warming events. Climate of the Past, 15(2), 811-825, https://doi.org/10.5194/cp-15-811-2019
Related to:	Gkinis, Vasileios; Simonsen, Sebastian B; Buchardt, Susanne L; White, James W C; Vinther, Bo Møllesøe (2014): Water isotope diffusion rates from the NorthGRIP ice core for the last 16,000 years – Glaciological and paleoclimatic implications. Earth and Planetary Science Letters, 405, 132-141, https://doi.org/10.1016/j.epsl.2014.08.022
	North Greenland Ice Core Project Members; Andersen, Katrine K; Azuma, Nobuhiko; Barnola, Jean-Marc; Bigler, Matthias; Biscaye, Pierre Eginton; Caillon, Nicolas; Chappellaz, Jérôme A; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Fischer, H; Flückiger, Jacqueline; Fritzsche, Diedrich; Fujii, Yushiyuki; Goto-Azuma, Kumiko; Grönvold, Karl; Gundestrup, Niels S; Hansson, Margareta E; Huber, C; Hvidberg, Christine Schøtt; Johnsen, Sigfús Jóhann; Jonsell, Ulf; Jouzel, Jean; Kipfstuhl, Sepp; Landais, Amaelle; Leuenberger, Markus Christian; Lorrain, Reginald D; Masson-Delmotte, Valerie; Miller, H; Motoyama, Hideaki; Narita, H; Popp, Trevor; Rasmussen, Sune Olander; Raynaud, Dominique; Röthlisberger, Regine; Ruth, Urs; Samyn, D; Schwander, Jakob; Shoji, Hitoshi; Siggaard-Andersen, Marie-Louise; Steffensen, J P; Stocker, T; Sveinbjörnsdottir, Árný E; Svensson, Anders M; Takata, Morimasa; Tison, Jean-Louis; Thorsteinsson, Thorsteinn; Watanabe, Okitsugu; Wilhelms, Frank; White, James W C (2004): High-resolution record of Northern Hemisphere climate extending into the last interglacial period. Nature, 431(7005), 147-151, https://doi.org/10.1038/nature02805
	Svensson, Anders M; Andersen, Katrine K; Bigler, Matthias; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Johnsen, Sigfús Jóhann; Muscheler, Raimund; Parrenin, Frédéric; Rasmussen, Sune Olander; Röthlisberger, Regine; Seierstad, Inger K; Steffensen, Jørgen Peder; Vinther, Bo Møllesøe (2008): A 60 000 year Greenland stratigraphic ice core chronology. Climate of the Past, 4(1), 47-57, https://doi.org/10.5194/cp-4-47-2008
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM ELEVATION: 2917.0 m * MAXIMUM ELEVATION: 2917.0 m
Event(s):	NGRIP (NorthGRIP) * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2917.0 m * LOCATION: Greenland * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * COMMENT: Age of the middle of the sampling interval in years BP (before 1950) on the GICC05 age scale for NGRIP
	Ageprofile Datum Description (Ageprof dat des) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de)
	Sodium [ng/g] (Na+) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Continuous Flow Analysis (CFA)
	Calcium [ng/g] (Ca2+) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Continuous Flow Analysis (CFA)
	Layer thickness [m] (Thickness) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Calculated * COMMENT: Calculated from the age model
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	19498 data points
*/
Age [ka BP]	Ageprof dat des	Na+ [ng/g]	Ca2+ [ng/g]	Thickness [m]
11.5125	Holocene			0.0544
11.5135	Holocene			0.0659
11.5145	Holocene			0.0469
11.5155	Holocene			0.0754
11.5165	Holocene			0.0470
11.5175	Holocene			0.0337
11.5185	Holocene			0.0359
11.5195	Holocene			0.0478
11.5205	Holocene			0.0346
11.5215	Holocene		18.9587	0.0577
11.5225	Holocene		8.5354	0.0760
11.5235	Holocene		17.5688	0.0716
11.5245	Holocene		14.4847	0.0544
11.5255	Holocene		17.3876	0.0270
11.5265	Holocene		15.2741	0.0569
11.5275	Holocene		10.4673	0.0618
11.5285	Holocene		12.7001	0.0753
11.5295	Holocene		18.4084	0.0497
11.5305	Holocene		12.7447	0.0758
11.5315	Holocene		16.6288	0.0538
11.5325	Holocene		12.0265	0.0696
11.5335	Holocene		15.6279	0.0650
11.5345	Holocene		17.6259	0.0841
11.5355	Holocene	32.0338	11.9234	0.0679
11.5365	Holocene	13.8020	10.0128	0.0533
11.5375	Holocene	12.6256	13.1520	0.0650
11.5385	Holocene	17.6501	15.1317	0.0562
11.5395	Holocene	12.2545	11.4701	0.0544
11.5405	Holocene	15.4341	13.0474	0.0594
11.5415	Holocene	21.8309	13.1518	0.0527
11.5425	Holocene	14.6013	18.0027	0.0655
11.5435	Holocene	8.1216	19.1803	0.0616
11.5445	Holocene	22.9777	10.8239	0.0630
11.5455	Holocene	13.4302	15.0216	0.0654
11.5465	Holocene	9.6594	13.0346	0.0705
11.5475	Holocene	13.7518	16.4424	0.0621
11.5485	Holocene	15.0663	27.3053	0.0672
11.5495	Holocene	9.1458	18.2633	0.0540
11.5505	Holocene	18.8746	22.3418	0.0409
11.5515	Holocene	14.7315	19.3263	0.0429
11.5525	Holocene	13.0349	18.4296	0.0632
11.5535	Holocene	18.5989	15.6428	0.0634
11.5545	Holocene	10.5734	20.1295	0.0504
11.5555	Holocene	11.0748	13.3985	0.0787
11.5565	Holocene	12.2661	16.8986	0.0524
11.5575	Holocene	9.5590	20.3276	0.0346
11.5585	Holocene	17.0333	16.8129	0.0606
11.5595	Holocene	12.8275	17.0852	0.0678
11.5605	Holocene	15.0454	16.8190	0.0622
11.5615	Holocene	12.0599	12.1870	0.0743
11.5625	Holocene	13.8299	20.4593	0.0655
11.5635	Holocene	17.1363	18.3594	0.0545
11.5645	Holocene	14.1873	16.4155	0.0558
11.5655	Holocene	16.5490	18.5152	0.0474
11.5665	Holocene	14.1462	15.8449	0.0524
11.5675	Holocene	13.5247	14.6315	0.0642
11.5685	Holocene	21.9677	20.0038	0.0623
11.5695	Holocene	15.4070	14.5362	0.0586
11.5705	Holocene	15.4535	14.3129	0.0689
11.5715	Holocene	20.3807	13.7004	0.0685
11.5725	Holocene	23.4455	16.4680	0.0549
11.5735	Holocene	23.8617	16.4929	0.0712
11.5745	Holocene	19.5234	19.2763	0.0561
11.5755	Holocene	15.4136	14.5603	0.0596
11.5765	Holocene	15.2196	11.8485	0.0560
11.5775	Holocene	25.9393	12.8197	0.0802
11.5785	Holocene	24.9379	16.8559	0.0463
11.5795	Holocene	28.2056	15.8461	0.0659
11.5805	Holocene	17.5642	12.9056	0.0595
11.5815	Holocene	26.8320	18.5845	0.0702
11.5825	Holocene	25.3999	17.7621	0.0590
11.5835	Holocene	21.8875	14.3802	0.0529
11.5845	Holocene	20.3052	16.1233	0.0669
11.5855	Holocene	18.9422	23.9947	0.0430
11.5865	Holocene	29.2231	20.7815	0.0356
11.5875	Holocene	21.9941	20.8471	0.0363
11.5885	Holocene	26.1041	18.4155	0.0617
11.5895	Holocene	27.1167	19.6967	0.0479
11.5905	Holocene	22.7082	15.4334	0.0561
11.5915	Holocene	24.1391	18.8079	0.0462
11.5925	Holocene	17.1399	16.1175	0.0748
11.5935	Holocene	18.2178	36.3944	0.0624
11.5945	Holocene	18.5097	21.0162	0.0604
11.5955	Holocene	19.0710	20.3980	0.0484
11.5965	Holocene	20.6213	18.9948	0.0691
11.5975	Holocene	15.7880	21.2426	0.0835
11.5985	Holocene	26.8001	30.0098	0.0373
11.5995	Holocene	33.5918	16.4457	0.0653
11.6005	Holocene	17.2966	24.8996	0.0605
11.6015	Holocene	16.6643	24.6691	0.0677
11.6025	Holocene	18.5605	19.2887	0.0548
11.6035	Holocene	26.0835	23.7376	0.0579
11.6045	Holocene	24.0421	29.4574	0.0687
11.6055	Holocene	27.7315	39.8955	0.0300
11.6065	Holocene	16.2103	21.9769	0.0866
11.6075	Holocene	15.1430	22.8204	0.0415
11.6085	Holocene	17.5531	23.3668	0.0556
11.6095	Holocene	12.4859	19.4738	0.0537
11.6105	Holocene	12.6647	6.6355	0.0731
11.6115	Holocene	25.4499	7.0199	0.0622
11.6125	Holocene	29.1789	12.3960	0.0548
11.6135	Holocene	21.4994	12.7818	0.0476
11.6145	Holocene	25.6818	10.5315	0.0504
11.6155	Holocene	71.0232	18.5371	0.0475
11.6165	Holocene	35.0773	50.8053	0.0310
11.6175	Holocene	24.6553	12.6613	0.0411
11.6185	Holocene	30.0027	12.7079	0.0470
11.6195	Holocene	21.1556	10.1578	0.0596
11.6205	Holocene	29.9263	11.0131	0.0427
11.6215	Holocene	22.9186	5.5897	0.0567
11.6225	Holocene	25.1573	12.8445	0.0332
11.6235	Holocene	21.5438	6.8670	0.0530
11.6245	Holocene	22.2981	19.2750	0.0537
11.6255	Holocene	35.7021	22.7205	0.0569
11.6265	Holocene	17.9409	22.6405	0.0532
11.6275	Holocene	23.6009	13.9442	0.0509
11.6285	Holocene	28.5022	13.1433	0.0415
11.6295	Holocene	26.7403	58.6033	0.0443
11.6305	Holocene	40.1346	70.9900	0.0511
11.6315	Holocene	23.8731	34.1922	0.0455
11.6325	Holocene	29.1015	32.5463	0.0526
11.6335	Holocene	23.8155	79.2135	0.0380
11.6345	Holocene	22.3578	54.2295	0.0830
11.6355	Holocene	32.2237	39.0206	0.0530
11.6365	Holocene	32.4996	45.4788	0.0470
11.6375	Holocene	20.1364	40.9530	0.0300
11.6385	Holocene	18.4884	26.2726	0.0500
11.6395	Holocene	33.2304	21.8375	0.0490
11.6405	Holocene	35.0016	32.8786	0.0590
11.6415	Holocene	18.6175	25.9380	0.0710
11.6425	Holocene	35.1146	50.4196	0.0350
11.6435	Holocene	49.3014	63.1218	0.0410
11.6445	Holocene	43.2280	53.2959	0.0330
11.6455	Holocene	27.3201	49.2651	0.0390
11.6465	Holocene	42.7078	56.3261	0.0400
11.6475	Holocene	57.5243	62.5252	0.0160
11.6485	Holocene	34.2396	60.0245	0.0270
11.6495	Holocene	27.5922	50.0762	0.0260
11.6505	Holocene	48.2385	66.3480	0.0650
11.6515	Holocene	51.3257	81.4424	0.0280
11.6525	Holocene	28.6990	54.7682	0.0230
11.6535	Holocene	18.7789	40.2854	0.0410
11.6545	Holocene	44.5243	72.8771	0.0300
11.6555	Holocene	40.8634	84.6832	0.0350
11.6565	Holocene	28.1454	89.2788	0.0440
11.6575	Holocene	68.8406	173.0104	0.0230
11.6585	Holocene	38.6409	122.7091	0.0410
11.6595	Holocene	66.3659	146.0722	0.0250
11.6605	Holocene	40.1012	96.4465	0.0340
11.6615	Holocene	50.0010	106.1529	0.0260
11.6625	Holocene	53.9002	100.4941	0.0240
11.6635	Holocene	64.9138	82.2194	0.0190
11.6645	Holocene	40.9346	86.2403	0.0240
11.6655	Holocene	73.2258	77.9661	0.0330
11.6665	Holocene	65.2509	96.2008	0.0270
11.6675	Holocene	36.2389	93.6988	0.0280
11.6685	Holocene	29.2521	64.4980	0.0270
11.6695	Holocene	34.9201	67.8129	0.0110
11.6705	Holocene	46.2055	76.3440	0.0320
11.6715	Holocene	53.0877	124.8492	0.0230
11.6725	Holocene	69.4062	120.8200	0.0230
11.6735	Holocene	38.6305	80.5898	0.0410
11.6745	Holocene	27.9034	61.5864	0.0520
11.6755	Holocene	65.6289	100.9415	0.0400
11.6765	Holocene	142.8573	134.4878	0.0190
11.6775	Holocene	51.0447	97.4404	0.0230
11.6785	Holocene	35.3567	90.2966	0.0490
11.6795	Holocene	22.6725	63.2590	0.0430
11.6805	Holocene	21.5179	60.3867	0.0440
11.6815	Holocene	40.4192	72.6338	0.0320
11.6825	Holocene	86.0273	106.0432	0.0250
11.6835	Holocene	85.8256	121.4195	0.0430
11.6845	Holocene	20.7299	71.8776	0.0350
11.6855	Holocene	50.2319	116.7268	0.0190
11.6865	Holocene	47.2044	96.3866	0.0210
11.6875	Holocene	27.9762	63.8623	0.0370
11.6885	Holocene	39.5200	63.4738	0.0330
11.6895	Holocene	44.4993	83.2805	0.0490
11.6905	Holocene	68.1647	113.0798	0.0420
11.6915	Holocene	52.2290	131.7079	0.0190
11.6925	Holocene	42.2017	103.5680	0.0310
11.6935	Holocene	28.0530	81.8629	0.0190
11.6945	Holocene	71.6828	133.6980	0.0250
11.6955	Holocene	69.1972	167.6661	0.0280
11.6965	Holocene	37.5427	125.4708	0.0520
11.6975	Holocene	61.8311	161.5549	0.0250
11.6985	Holocene	55.0008	135.6102	0.0330
11.6995	Holocene	51.2486	123.9009	0.0350
11.7005	Holocene	43.5804	100.0515	0.0310
11.7015	Holocene	30.8255	83.3938	0.0280
11.7025	Holocene	65.6244	151.3236	0.0360
11.7035	Holocene	59.5318	121.7716	0.0350
11.7045	Holocene	45.4907	116.8531	0.0340
11.7055	Holocene	60.5019	94.4364	0.0410
11.7065	Holocene	59.8291	88.9664	0.0350
11.7075	Holocene	28.2507	96.1923	0.0270
11.7085	Holocene	29.0771	83.8613	0.0270
11.7095	Holocene	39.1166	95.1780	0.0390
11.7105	Holocene	126.9292	128.4345	0.0180
11.7115	Holocene	55.3352	94.0778	0.0360
11.7125	Holocene	54.2820	86.4172	0.0410
11.7135	Holocene	49.7675	83.8205	0.0240
11.7145	Holocene	39.1735	95.6114	0.0440
11.7155	Holocene	16.5814	56.3632	0.0270
11.7165	Holocene	20.0839	50.7996	0.0330
11.7175	Holocene	17.6517	61.1125	0.0430
11.7185	Holocene	36.3792	105.5756	0.0190
11.7195	Holocene	84.7128	153.5893	0.0160
11.7205	Holocene	42.6687	107.4656	0.0390
11.7215	Holocene	43.8609	89.0544	0.0260
11.7225	Holocene	92.1718	130.3712	0.0230
11.7235	Holocene	31.8181	71.5391	0.0370
11.7245	Holocene	33.6241	83.8106	0.0290
11.7255	Holocene	33.1447	81.7030	0.0340
11.7265	Holocene	15.3950	60.9568	0.0250
11.7275	Holocene	101.0487	114.1757	0.0190
11.7285	Holocene	51.3462	125.6299	0.0180
11.7295	Holocene	39.7693	106.7863	0.0300
11.7305	Holocene	23.0475	77.6868	0.0300
11.7315	Holocene	47.5427	138.1437	0.0310
11.7325	Holocene	22.9360	42.1326	0.0280
11.7335	Holocene	43.5657	50.1207	0.0230
11.7345	Holocene	15.8535	41.3883	0.0210
11.7355	Holocene	32.9636	72.0037	0.0410
11.7365	Holocene	25.8205	97.6784	0.0380
11.7375	Holocene	28.5071	78.4271	0.0400
11.7385	Holocene	65.8634	128.7557	0.0280
11.7395	Holocene	45.3281	115.3220	0.0260
11.7405	Holocene	43.0350	116.5728	0.0220
11.7415	Holocene	57.4646	133.3149	0.0260
11.7425	Holocene	84.2625	279.1120	0.0230
11.7435	Holocene	31.3380	260.6213	0.0250
11.7445	Holocene	5.9686	117.4013	0.0320
11.7455	Holocene	23.6760	132.3030	0.0430
11.7465	Holocene	43.8537	178.3067	0.0270
11.7475	Holocene	46.6713	113.6284	0.0260
11.7485	Holocene	17.9841	100.0926	0.0310
11.7495	Holocene	57.7723	121.8176	0.0260
11.7505	Holocene	19.2729	117.0727	0.0330
11.7515	Holocene	64.5802	194.2591	0.0250
11.7525	Holocene	51.4893	101.6414	0.0520
11.7535	Holocene	35.2847	104.0658	0.0350
11.7545	Holocene	26.8564	120.3795	0.0490
11.7555	Holocene	39.2690	129.9634	0.0260
11.7565	Holocene	31.3092	117.1504	0.0310
11.7575	Holocene	34.1702	86.3189	0.0270
11.7585	Holocene	45.5884	103.6126	0.0290
11.7595	Holocene	21.5376	103.7373	0.0260
11.7605	Holocene	29.5024	100.3867	0.0250
11.7615	Holocene	26.2962	92.9024	0.0210
11.7625	Holocene	29.1047	86.9925	0.0230
11.7635	Holocene	53.8779	99.3973	0.0340
11.7645	Holocene	26.8182	78.8762	0.0300
11.7655	Holocene	29.5516	101.8107	0.0260
11.7665	Holocene	65.6003	117.7625	0.0340
11.7675	Holocene	45.4828	152.1232	0.0250
11.7685	Holocene	36.9517	121.6938	0.0290
11.7695	Holocene	24.3929	84.3381	0.0470
11.7705	Holocene	48.7046	101.7474	0.0220
11.7715	Holocene	56.1240	87.8743	0.0270
11.7725	Holocene	56.5233	117.8553	0.0380
11.7735	Holocene	31.2610	124.3428	0.0430
11.7745	Holocene	68.1606	135.2401	0.0220
11.7755	Holocene	25.1548	104.7506	0.0380
11.7765	Holocene	23.9948	93.2820	0.0450
11.7775	Holocene	53.3169	120.2878	0.0370
11.7785	Holocene	56.1541	120.6749	0.0300
11.7795	Holocene	30.8176	106.7153	0.0320
11.7805	Holocene	63.2098	138.7312	0.0170
11.7815	Holocene	53.2773	103.8857	0.0170
11.7825	Holocene	37.8183	101.2159	0.0210
11.7835	Holocene	35.4507	95.7474	0.0260
11.7845	Holocene	50.5959	113.6405	0.0210
11.7855	Holocene	22.8706	88.0516	0.0220
11.7865	Holocene	35.0786	97.7288	0.0310
11.7875	Holocene	15.2733	69.3704	0.0250
11.7885	Holocene	46.8261	120.7959	0.0480
11.7895	Holocene	20.9712	81.9221	0.0560
11.7905	Holocene	47.4253	173.2425	0.0300
11.7915	Holocene	67.0447	238.8950	0.0180
11.7925	Holocene	21.7724	146.6387	0.0290
11.7935	Holocene	15.6712	114.5013	0.0200
11.7945	Holocene	27.5599	138.7269	0.0360
11.7955	Holocene	39.3849	139.3713	0.0380
11.7965	Holocene	79.0249	134.2760	0.0290
11.7975	Holocene	37.3986	132.3528	0.0340
11.7985	Holocene	63.8877	133.5327	0.0350
11.7995	Holocene	86.0351	104.3650	0.0280
11.8005	Holocene	65.2299	125.8590	0.0350
11.8015	Holocene	24.8555	79.1869	0.0340
11.8025	Holocene	59.0719	91.1161	0.0210
11.8035	Holocene	64.0675	180.1457	0.0310
11.8045	Holocene	22.7335	96.0325	0.0210
11.8055	Holocene	17.0067	60.4733	0.0280
11.8065	Holocene	55.5517	126.2614	0.0360
11.8075	Holocene	75.4764	160.9046	0.0270
11.8085	Holocene	55.4387	126.6453	0.0250
11.8095	Holocene	33.8434	95.9469	0.0200
11.8105	Holocene	37.4424	91.6993	0.0300
11.8115	Holocene	33.3948	107.5402	0.0320
11.8125	Holocene	57.0793	148.6549	0.0370
11.8135	Holocene	50.3280	134.2941	0.0220
11.8145	Holocene	12.1119	78.4654	0.0290
11.8155	Holocene	14.7617	82.1932	0.0330
11.8165	Holocene	26.4813	84.4578	0.0190
